                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                 1.1578,                 1.0673,                0.89953,                0.99375,                0.91728,                0.94048,                0.64443,                 1.1554,                 0.9619,                0.94054,             0.00055303,             0.00055303,             0.00055303
                    138,                 1.1582,                 1.0379,                0.90792,                      1,                0.90019,                0.94048,                0.64837,                 1.1089,                0.96423,                0.93201,             0.00054478,             0.00054478,             0.00054478
                    139,                 1.1013,                 1.1193,                0.90556,                      1,                0.90029,                0.94047,                0.64786,                 1.1143,                0.95417,                 0.9306,             0.00053652,             0.00053652,             0.00053652
                    140,                 1.1368,                 1.0376,                0.91758,                0.98873,                0.90077,                 0.9181,                0.62416,                 1.1526,                0.93966,                0.93484,             0.00052827,             0.00052827,             0.00052827
                    141,                 1.2387,                 1.1253,                0.87573,                0.99265,                0.88105,                0.91142,                 0.6119,                 1.1753,                0.96519,                0.93872,             0.00052002,             0.00052002,             0.00052002
                    142,                 1.2568,                 1.2094,                0.91885,                0.99255,                0.87971,                0.91276,                0.63841,                 1.1528,                0.97465,                0.93582,             0.00051177,             0.00051177,             0.00051177
                    143,                 1.1451,                0.99394,                0.88911,                0.99057,                0.87964,                0.91354,                0.62431,                 1.1634,                0.96485,                0.93732,             0.00050352,             0.00050352,             0.00050352
                    144,                   1.22,                 1.0316,                0.90125,                 0.9891,                0.88008,                0.91013,                0.63161,                 1.1619,                 0.9411,                0.93512,             0.00049527,             0.00049527,             0.00049527
                    145,                 1.2449,                 1.0895,                0.89847,                0.98177,                0.90325,                0.91143,                0.61536,                 1.1675,                0.91409,                0.93084,             0.00048701,             0.00048701,             0.00048701
                    146,                 1.1073,                  1.093,                0.90264,                0.98544,                0.90771,                0.91136,                0.62367,                  1.144,                0.91132,                0.92835,             0.00047876,             0.00047876,             0.00047876
                    147,                 1.1461,                0.98156,                0.89528,                0.99033,                0.91176,                0.91179,                 0.6536,                 1.1076,                0.89187,                0.92388,             0.00047051,             0.00047051,             0.00047051
                    148,                 1.0902,                0.96103,                0.91103,                0.99445,                0.91176,                0.93548,                0.63073,                 1.1519,                0.91782,                0.92795,             0.00046226,             0.00046226,             0.00046226
